Date,Time,Entries,Place
2007,00 00 00,0,Reception/Security
2007,00 00 00,2,Heritage Collections Entry
2007,00 00 00,1,John Oxley Collection
2007,00 00 00,3,Phillip Bacon Gallery
2007,00 00 00,1,Reception/Security
2007,00 00 00,1,Reception/Security
2007,00 00 00,1,Reception/Security
2007,00 00 00,2,Heritage Collections Entry
2007,00 00 00,1,Reception/Security
2007,00 00 00,1,Reception/Security
2007,00 00 00,1,Reception/Security
2007,00 00 00,1,John Oxley Collection
2007,00 00 00,1,Reception/Security
2007,00 00 00,2,Infozone
2007,00 00 00,1,Heritage Collections Entry
2007,00 00 00,3,John Oxley Collection
2007,00 00 00,1,Phillip Bacon Gallery
2007,00 00 00,23,Infozone
2007,00 00 00,1,Reception/Security
2007,00 00 00,1,Reception/Security
2007,00 00 00,1,Reception/Security
2007,00 00 00,2,Reception/Security
2007,00 00 00,1,Heritage Collections Entry
2007,00 00 00,2,Phillip Bacon Gallery
2007,00 00 00,2,Reception/Security
2007,00 00 00,2,Reception/Security
2007,00 00 00,1,Reception/Security
2007,00 00 00,1,Reception/Security
2007,00 00 00,1,Reception/Security
2007,00 00 00,31,Infozone
2007,00 00 00,1,Reception/Security
2007,00 00 00,1,Heritage Collections Entry
2007,00 00 00,3,John Oxley Collection
2007,00 00 00,1,Infozone
2007,00 00 00,4,Reception/Security
2007,00 00 00,3,The Library Shop
2007,00 00 00,1,Infozone
2007,00 00 00,1,SLQ Indemnified Gallery
2007,00 00 00,2,John Oxley Collection
2007,00 00 00,1,Phillip Bacon Gallery
2007,00 00 00,1,Reception/Security
2007,00 00 00,1,Infozone
2007,00 00 00,1,Reception/Security
2007,00 00 00,2,Reception/Security
2007,00 00 00,2,Reception/Security
2007,00 00 00,1,Heritage Collections Entry
2007,00 00 00,2,Phillip Bacon Gallery
2007,00 00 00,4,Infozone
2007,00 00 00,2,Reception/Security
2007,00 00 00,1,Reception/Security
2007,00 00 00,1,Infozone
2007,00 00 00,3,Reception/Security
